# SpiritVale monster combat values, all 319, computed July 2026.
#
# NOT transcribed: derived by running the community wiki's own monStats() over
# its published monsters.json. That function is its reverse-engineering of the
# game's Formula.* system, corroborated by the prose tooltip it renders beside
# the numbers. Nothing here is verified against a decompile by us.
#
# The rules, verbatim from the code:
#   slv      = boss ? level*2 : level
#   attr     = max(0, round(combat.<attr> * slv))          six attributes
#   dmf      = boss ? 3 : 1                                 Def/MdefMult boss block
#   def      = round(round(combat.def /10 * level) * dmf)
#   mdef     = round(round(combat.mdef/10 * level) * dmf)
#   defFlat  = round((floor(level/2) + floor(vit/5)) * dmf)
#   mdefFlat = round((floor(level/4) + floor(vit/10) + floor(int/5)) * dmf)
#   hp       = roundSig2( (100 + 10*level + 10*Tri(level)) * (1 + vit/100)
#                         * (boss ? 101 : 1) * (1 + 0.25*clamp01((level-1)/149)) )
#   hit      = floor(level + dex/2)
#   flee     = floor(level + agi/2)
#   exp/coin = boss kills pay 50x; coin = level * 3
#
# The archetype column is a LABEL ONLY. The wiki renders it as a tag and never
# reads it numerically; the multipliers apply straight to level.
#
# NOT derivable, still open: monster ATK (the tooltip says it scales with weapon
# and rank, and no ATK is shown), and the AttackSpeedRanks values behind the
# moveRank / aspdRank columns, which are ranks out of 5.
#
id	name	level	boss	element	race	size	arch	exp	coin	hp	str	vit	agi	dex	int	luk	def	defFlat	mdef	mdefFlat	hit	flee	moveRank	aspdRank	ranged
Shade	Shade	98	0	Shadow	Demon	2	Brute	21658	294	140000	172	147	74	98	25	74	29	78	10	43	147	135	3	3	0
Elder Wisp Yellow	Elder Fire	99	0	Fire	Formless	3	Caster	22077	297	88000	50	50	50	173	173	99	0	59	40	63	185	124	3	2	0
Fire Mage	Fire Mage	99	0	Fire	Demon	3	Caster	22077	297	88000	50	50	50	173	173	99	0	59	40	63	185	124	3	2	0
Dragon Inferno	Inferno Wyvern	99	0	Fire	Dragon	3	Hybrid	22077	297	120000	124	99	74	124	124	50	20	68	20	57	161	136	4	3	0
Golem Fire	Magma Golem	100	0	Fire	Formless	3	Defender	22500	300	170000	150	175	25	100	50	100	50	85	10	52	150	112	1	2	0
Shadow	Nightfiend	100	0	Shadow	Demon	3	Brute	22500	300	150000	175	150	75	100	25	75	30	80	10	45	150	137	3	3	0
FIsh Blue	Bluefin	101	0	Water	Fish	1	Critter	22927	303	110000	76	76	76	76	76	76	10	65	0	47	139	139	2	2	0
Fish Pink	Rosetail	101	0	Fire	Fish	1	Critter	22927	303	110000	76	76	76	76	76	76	10	65	0	47	139	139	2	2	0
Octopus Baby Orange	Amber Squid	102	0	Water	Fish	1	Hybrid	23358	306	130000	128	102	77	128	128	51	20	71	20	60	166	140	4	3	0
Octopus Baby Blue	Azure Squid	102	0	Water	Fish	1	Hybrid	23358	306	130000	128	102	77	128	128	51	20	71	20	60	166	140	4	3	0
Fish Yellow	Goldtail	102	0	Wind	Fish	1	Critter	23358	306	110000	77	77	77	77	77	77	10	66	0	47	140	140	2	2	0
Squid Baby	Squidling	102	0	Water	Fish	1	Critter	23358	306	110000	77	77	77	77	77	77	10	66	0	47	140	140	2	2	0
Fish Man Blue	Aqua Merling	103	0	Water	Fish	2	Runner	23793	309	110000	129	77	155	103	26	129	21	66	10	37	154	180	5	4	0
Fish Man Yellow	Canary Merling	103	0	Wind	Fish	2	Runner	23793	309	110000	129	77	155	103	26	129	21	66	10	37	154	180	5	4	0
Octopus Baby Purple	Plum Squid	103	0	Water	Fish	1	Hybrid	23793	309	130000	129	103	77	129	129	52	21	71	21	60	167	141	4	3	0
Fish Man Pink	Roseate Merling	103	0	Fire	Fish	2	Runner	23793	309	110000	129	77	155	103	26	129	21	66	10	37	154	180	5	4	0
Octopus Orange	Amber Cuttlefish	104	0	Water	Fish	2	Hybrid	24232	312	130000	130	104	78	130	130	52	21	72	21	62	169	143	4	3	0
Shark	Bull Shark	104	0	Water	Fish	2	Ravager	24232	312	130000	156	104	104	104	52	104	21	72	10	46	156	156	4	4	0
Octopus White	Pearl Cuttlefish	104	0	Water	Fish	2	Hybrid	24232	312	130000	130	104	78	130	130	52	21	72	21	62	169	143	4	3	0
Octopus Purple	Violet Cuttlefish	104	0	Water	Fish	2	Hybrid	24232	312	130000	130	104	78	130	130	52	21	72	21	62	169	143	4	3	0
Fish Merman Pink	Coral Merman	105	0	Fire	Humanoid	3	Ravager	24675	315	140000	158	105	105	105	53	105	21	73	11	46	157	157	4	4	0
Imp Devil	Demon Lord	105	1	Fire	Demon	3	Hybrid	1233750	15750	21000000	263	210	158	263	263	105	63	282	63	297	236	184	4	3	0
Fish Merman Blue	Sapphire Merman	105	0	Water	Humanoid	3	Ravager	24675	315	140000	158	105	105	105	53	105	21	73	11	46	157	157	4	4	0
Fish Merman Yellow	Topaz Merman	105	0	Wind	Humanoid	3	Ravager	24675	315	140000	158	105	105	105	53	105	21	73	11	46	157	157	4	4	0
Mimic Living Trap	Trap Mimic	106	0	Ghost	Formless	1	Runner	25122	318	120000	133	80	159	106	27	133	21	69	11	39	159	185	5	4	0
Mimic Barrel	Barrel Mimic	107	0	Ghost	Formless	2	Runner	25573	321	120000	134	80	161	107	27	134	21	69	11	39	160	187	5	4	0
Mimic Candle	Candle Mimic	109	0	Ghost	Formless	2	Runner	26487	327	130000	136	82	164	109	27	136	22	70	11	40	163	191	5	4	0
Mimic Treasure Chest	Chest Mimic	110	0	Ghost	Formless	3	Runner	26950	330	130000	138	83	165	110	28	138	22	71	11	40	165	192	5	4	0
Eyeball Monster	Kraken	110	1	Water	Fish	3	Hybrid	1347500	16500	24000000	275	220	165	275	275	110	66	297	66	312	247	192	4	3	0
Cyclops Bat	Eyeclops Bat	111	0	Undead	Beast	1	Flyer	27417	333	120000	83	56	194	83	28	56	11	66	11	37	152	208	3	4	0
Death	Wight	112	0	Ghost	Demon	1	Caster	27888	336	120000	56	56	56	196	196	112	0	67	45	72	210	140	3	2	0
Cyclops Bat Wizard	Eyeclops Arcanist	113	0	Undead	Beast	2	Caster	28363	339	120000	57	57	57	198	198	113	0	67	45	72	212	141	3	2	0
Skeleton Mage	Skeleton Mage	113	0	Undead	Demon	2	Caster	28363	339	120000	57	57	57	198	198	113	0	67	45	72	212	141	3	2	0
Mimic Sword	Sword Mimic	114	0	Ghost	Formless	3	Runner	28842	342	150000	143	86	171	114	29	143	23	74	11	41	171	199	5	4	0
Skeleton Giant	Skeleton Giant	115	0	Undead	Demon	3	Defender	29325	345	240000	173	201	29	115	58	115	58	97	12	59	172	129	1	2	0
Gloom	Spectre	116	0	Undead	Demon	1	Hybrid	29812	348	180000	145	116	87	145	145	58	23	81	23	69	188	159	4	3	0
Eyeball Creep Blue	Azure Eyestalk	117	0	Undead	Demon	2	Hybrid	30303	351	180000	146	117	88	146	146	59	23	81	23	69	190	161	4	3	0
Eyeball Creep Green	Jade Eyestalk	118	0	Undead	Demon	2	Hybrid	30798	354	190000	148	118	89	148	148	59	24	82	24	69	192	162	4	3	0
Eyeball Creep Red	Ruby Eyestalk	118	0	Undead	Demon	2	Hybrid	30798	354	190000	148	118	89	148	148	59	24	82	24	69	192	162	4	3	0
Grim Reaper	Reaper	119	0	Undead	Demon	2	Hybrid	31297	357	190000	149	119	89	149	149	60	24	82	24	69	193	163	4	3	0
Direwolf	Direwolf	120	0	Undead	Beast	3	Ravager	31800	360	200000	180	120	120	120	60	120	24	84	12	54	180	180	4	4	0
Mimic Book	Book Mimic	121	0	Ghost	Formless	1	Runner	32307	363	170000	151	91	182	121	30	151	24	78	12	45	181	212	5	4	0
Goblin Warlock	Orc Warlock	121	0	Shadow	Beast	3	Caster	32307	363	150000	61	61	61	212	212	121	0	72	48	78	227	151	3	2	0
Nightmare	Apparition	122	0	Ghost	Demon	2	Caster	32818	366	150000	61	61	61	214	214	122	0	73	49	78	229	152	3	2	0
Eyeball Mage Blue	Azure Beholder	123	0	Undead	Demon	3	Caster	33333	369	150000	62	62	62	215	215	123	0	73	49	79	230	154	3	2	0
Cyclops Bat Mage	Eyeclops Mage	123	0	Undead	Beast	3	Caster	33333	369	150000	62	62	62	215	215	123	0	73	49	79	230	154	3	2	0
Goblin Warblade	Orc Reaver	123	0	Fire	Beast	3	Ravager	33333	369	210000	185	123	123	123	62	123	25	85	12	54	184	184	4	4	0
Eyeball Mage Green	Jade Beholder	124	0	Undead	Demon	3	Caster	33852	372	150000	62	62	62	217	217	124	0	74	50	80	232	155	3	2	0
Goblin Warcrusher	Orc Crusher	125	0	Earth	Beast	3	Brute	34375	375	280000	219	188	94	125	31	94	38	99	13	55	187	172	3	3	0
Eyeball Mage Red	Ruby Beholder	125	0	Undead	Demon	3	Caster	34375	375	160000	63	63	63	219	219	125	0	74	50	80	234	156	3	2	0
Wraith	Wraith King	125	1	Undead	Demon	3	Hybrid	1718750	18750	34000000	313	250	188	313	313	125	75	336	75	354	281	219	4	3	0
Razor Robot	Razor Robot	126	0	Fire	Formless	1	Runner	34902	378	190000	158	95	189	126	32	158	25	82	13	46	189	220	5	4	0
Shell Robot	Shell Robot	126	0	Fire	Formless	1	Runner	34902	378	190000	158	95	189	126	32	158	25	82	13	46	189	220	5	4	0
Alien One Eye	Voidgazer	126	0	Holy	Formless	2	Hybrid	34902	378	220000	158	126	95	158	158	63	25	88	25	74	205	173	4	3	0
Nozzle Robot	Nozzle Robot	127	0	Neutral	Formless	1	Hybrid	35433	381	230000	159	127	95	159	159	64	25	88	25	74	206	174	4	3	0
Spike Robot	Spike Robot	127	0	Fire	Formless	1	Runner	35433	381	200000	159	95	191	127	32	159	25	82	13	46	190	222	5	4	0
Tentacles Robot	Stormcoil	127	0	Wind	Formless	3	Caster	35433	381	160000	64	64	64	222	222	127	0	75	51	81	238	159	3	2	0
Nose Robot	Nose Robot	128	0	Neutral	Formless	2	Hybrid	35968	384	230000	160	128	96	160	160	64	26	89	26	76	208	176	4	3	0
Spiderling Robot	Spiderling Robot	128	0	Shadow	Formless	1	Ravager	35968	384	230000	192	128	128	128	64	128	26	89	13	56	192	192	4	4	0
Spider Robot	Spider Robot	128	0	Shadow	Formless	2	Ravager	35968	384	230000	192	128	128	128	64	128	26	89	13	56	192	192	4	4	0
Alien Plant	Chompbloom	129	0	Poison	Plant	3	Plant	36507	387	200000	129	97	32	194	194	129	13	83	39	79	226	145	0	5	0
Delivery Robot	Delivery Robot	129	0	Neutral	Formless	2	Brute	36507	387	300000	226	194	97	129	32	97	39	102	13	57	193	177	3	3	0
Snout Robot	Snout Robot	129	0	Neutral	Formless	3	Hybrid	36507	387	240000	161	129	97	161	161	65	26	89	26	76	209	177	4	3	0
Death Mage	Abyss Archon	130	1	Ghost	Demon	3	Caster	1852500	19500	24000000	130	130	130	455	455	260	0	273	156	408	357	195	3	2	0
Boxy Robot	Boxy Robot	130	0	Neutral	Formless	3	Brute	37050	390	310000	228	195	98	130	33	98	39	104	13	57	195	179	3	3	0
Alien Wreck	Cindermaw	130	0	Fire	Formless	3	Runner	37050	390	210000	163	98	195	130	33	163	26	84	13	47	195	227	5	4	0
Gripper Robot	Gripper Robot	130	0	Neutral	Formless	3	Brute	37050	390	310000	228	195	98	130	33	98	39	104	13	57	195	179	3	3	0
Goblin Warchief	Orc Warchief	130	1	Wind	Beast	3	Hybrid	1852500	19500	38000000	325	260	195	325	325	130	78	351	78	369	292	227	4	3	0
Alien Star	Little Star	131	0	Holy	Formless	1	Flyer	37597	393	180000	98	66	229	98	33	66	13	78	13	44	180	245	3	4	0
Titan Turtle Sci Green	Solar Turtle	131	0	Fire	Humanoid	3	Caster	37597	393	180000	66	66	66	229	229	131	0	78	52	83	245	164	3	2	0
Octopus King Blue	Azure Octopus	132	0	Water	Fish	3	Archer	38148	396	220000	99	99	165	231	33	165	13	85	26	48	247	214	2	1	0
Mini Ice Bear B	Festive Baby	132	0	Holy	Beast	1	Runner	38148	396	220000	165	99	198	132	33	165	26	85	13	48	198	231	5	4	0
Mini Ice Bear A	Ice Baby	132	0	Water	Beast	1	Runner	38148	396	220000	165	99	198	132	33	165	26	85	13	48	198	231	5	4	0
Octopus King Orange	Amber Octopus	133	0	Water	Fish	3	Archer	38703	399	220000	100	100	166	233	33	166	13	86	27	49	249	216	2	1	0
Ice Starflake A	Starflake	133	0	Holy	Formless	2	Flyer	38703	399	180000	100	67	233	100	33	67	13	79	13	45	183	249	3	4	0
Ice Starflake B	Vanilla Ice	133	0	Water	Formless	2	Flyer	38703	399	180000	100	67	233	100	33	67	13	79	13	45	183	249	3	4	0
Octopus King Purple	Violet Octopus	133	0	Water	Fish	3	Archer	38703	399	220000	100	100	166	233	33	166	13	86	27	49	249	216	2	1	0
Titan Turtle Sci Blue	Hydro Turtle	134	0	Water	Humanoid	3	Ravager	39262	402	260000	201	134	134	134	67	134	27	93	13	59	201	201	4	4	0
Ice Bear A	Ice Bear	134	0	Water	Beast	2	Brute	39262	402	340000	235	201	101	134	34	101	40	107	13	59	201	184	3	3	0
Ice Starflake C	Shadow Ice	134	0	Shadow	Formless	2	Flyer	39262	402	190000	101	67	235	101	34	67	13	80	13	45	184	251	3	4	0
Alien Big Blink	Cosmic Entity	135	1	Holy	Formless	3	Hybrid	1991250	20250	43000000	338	270	203	338	338	135	81	363	81	381	304	236	4	3	0
Ice Bear B	Festive Bear	135	0	Holy	Beast	2	Brute	39825	405	350000	236	203	101	135	34	101	41	107	14	59	202	185	3	3	0
Titan Turtle Sci Pink	Storm Turtle	135	0	Wind	Humanoid	3	Brute	39825	405	350000	236	203	101	135	34	101	41	107	14	59	202	185	3	3	0
Spider Queen Robot	Suphara	135	1	Shadow	Formless	3	Ravager	1991250	20250	43000000	405	270	270	270	135	270	81	363	42	261	270	270	4	4	0
Alien Twinkle	Twinkle	135	0	Holy	Formless	3	Flyer	39825	405	190000	101	68	236	101	34	68	14	80	14	45	185	253	3	4	0
Crystal Guardian Amethyst	Amethyst Guardian	136	0	Shadow	Formless	0	Hybrid	40392	408	270000	170	136	102	170	170	68	27	95	27	81	221	187	4	3	0
Love Heart	Cupid	136	0	Holy	Angel	1	Flyer	40392	408	190000	102	68	238	102	34	68	14	81	14	46	187	255	3	4	0
Crystal Guardian Emerald	Emerald Guardian	136	0	Earth	Formless	0	Hybrid	40392	408	270000	170	136	102	170	170	68	27	95	27	81	221	187	4	3	0
NightmareAcolyte	Umbral Acolyte	136	0	Holy	Humanoid	2	Caster	40392	408	190000	68	68	68	238	238	136	0	81	54	87	255	170	3	2	0
Mini Ice Cube A	Ice Cube	137	0	Water	Formless	1	Critter	40963	411	240000	103	103	103	103	103	103	14	88	0	64	188	188	2	2	0
Dark Wizard Black	Onyx Warlock	137	0	Ghost	Demon	2	Caster	40963	411	200000	69	69	69	240	240	137	0	81	55	88	257	171	3	2	0
Mini Ice Cube B	Shadow Cube	137	0	Shadow	Formless	1	Critter	40963	411	240000	103	103	103	103	103	103	14	88	0	64	188	188	2	2	0
Alien Starry	Starry	137	0	Holy	Formless	2	Flyer	40963	411	200000	103	69	240	103	34	69	14	81	14	46	188	257	3	4	0
NightmareMage	Umbral Mage	137	0	Ghost	Humanoid	2	Caster	40963	411	200000	69	69	69	240	240	137	0	81	55	88	257	171	3	2	0
NightmareRogue	Umbral Rogue	137	0	Poison	Humanoid	2	Runner	40963	411	240000	171	103	206	137	34	171	27	88	14	50	205	240	5	4	0
Eyeball Mage	Beholder	138	0	Shadow	Demon	2	Caster	41538	414	200000	69	69	69	242	242	138	0	82	55	88	259	172	3	2	0
Ice Cube A	Ice Golem	138	0	Water	Formless	2	Critter	41538	414	240000	104	104	104	104	104	104	14	89	0	64	190	190	2	2	0
Dark Wizard Red	Scarlet Warlock	138	0	Ghost	Demon	2	Caster	41538	414	200000	69	69	69	242	242	138	0	82	55	88	259	172	3	2	0
Ice Cube B	Shadow Golem	138	0	Shadow	Formless	2	Critter	41538	414	240000	104	104	104	104	104	104	14	89	0	64	190	190	2	2	0
NightmareScout	Umbral Scout	138	0	Wind	Humanoid	2	Archer	41538	414	240000	104	104	173	242	35	173	14	89	28	51	259	224	2	1	0
Dark Wizard Purple	Violet Warlock	138	0	Ghost	Demon	2	Caster	41538	414	200000	69	69	69	242	242	138	0	82	55	88	259	172	3	2	0
Dragon King Orange	Earth Wyrm	139	0	Earth	Dragon	2	Brute	42117	417	380000	243	209	104	139	35	104	42	110	14	61	208	191	3	3	0
Dragon King Green	Fire Wyrm	139	0	Fire	Dragon	2	Brute	42117	417	380000	243	209	104	139	35	104	42	110	14	61	208	191	3	3	0
Dragon King Blue	Frost Wyrm	139	0	Water	Dragon	2	Brute	42117	417	380000	243	209	104	139	35	104	42	110	14	61	208	191	3	3	0
Dragon King Purple	Lightning Wyrm	139	0	Wind	Dragon	2	Brute	42117	417	380000	243	209	104	139	35	104	42	110	14	61	208	191	3	3	0
NightmareSummoner	Umbral Summoner	139	0	Undead	Humanoid	2	Hybrid	42117	417	290000	174	139	104	174	174	70	28	96	28	81	226	191	4	3	0
NightmareWarrior	Umbral Warrior	139	0	Fire	Humanoid	2	Ravager	42117	417	290000	209	139	139	139	70	139	28	96	14	61	208	208	4	4	0
Crystal Guardian Aqua	Aquamarine Guardian	140	0	Water	Formless	3	Hybrid	42700	420	300000	175	140	105	175	175	70	28	98	28	84	227	192	4	3	0
Cobra Venom	Cobra	140	0	Poison	Beast	3	Hybrid	42700	420	300000	175	140	105	175	175	70	28	98	28	84	227	192	4	3	0
Mega Ice Golem	Ice Titan	140	1	Water	Formless	3	Defender	2135000	21000	74000000	420	490	70	280	140	280	210	504	42	336	280	175	1	2	0
Blind	Nightshade	140	0	Poison	Plant	3	Caster	42700	420	210000	70	70	70	245	245	140	0	84	56	91	262	175	3	2	0
Turtle King	Turtle Champion	140	1	Earth	Humanoid	3	Ravager	2135000	21000	47000000	420	280	280	280	140	280	84	378	42	273	280	280	4	4	0
NightmareKnight	Umbral Knight	140	0	Water	Humanoid	2	Defender	42700	420	430000	210	245	35	140	70	140	70	119	14	73	210	157	1	2	0
Bot Robot	Repair Robot	141	0	Neutral	Formless	1	Runner	43287	423	260000	176	106	212	141	35	176	28	91	14	52	211	247	5	4	0
Ball Robot Red	Strike Robot	141	0	Neutral	Formless	1	Runner	43287	423	260000	176	106	212	141	35	176	28	91	14	52	211	247	5	4	0
Ball Robot Blue	Ward Robot	141	0	Neutral	Formless	1	Runner	43287	423	260000	176	106	212	141	35	176	28	91	14	52	211	247	5	4	0
Dragon Bot	Dragon Bot	142	0	Neutral	Formless	1	Hybrid	43878	426	310000	178	142	107	178	178	71	28	99	28	84	231	195	4	3	0
Alien Pew Pew	Galaxian Blaster	142	0	Neutral	Formless	1	Hybrid	43878	426	310000	178	142	107	178	178	71	28	99	28	84	231	195	4	3	0
Nexus Robot	Nexus Robot	142	0	Neutral	Formless	1	Critter	43878	426	260000	107	107	107	107	107	107	14	92	0	66	195	195	2	2	0
Hermit Robot Blue	Scout Robot	142	0	Neutral	Formless	1	Critter	43878	426	260000	107	107	107	107	107	107	14	92	0	66	195	195	2	2	0
Hermit Robot Red	Sentry Robot	142	0	Neutral	Formless	1	Critter	43878	426	260000	107	107	107	107	107	107	14	92	0	66	195	195	2	2	0
Blast Robot Red	Blast Robot	143	0	Neutral	Formless	2	Archer	44473	429	270000	107	107	179	250	36	179	14	92	29	52	268	232	2	1	0
Grid Robot	Grid Robot	143	0	Neutral	Formless	1	Brute	44473	429	410000	250	215	107	143	36	107	43	114	14	63	214	196	3	3	0
Blast Robot Blue	Guard Robot	143	0	Neutral	Formless	2	Archer	44473	429	270000	107	107	179	250	36	179	14	92	29	52	268	232	2	1	0
Tech Robot	Tech Robot	143	0	Neutral	Formless	1	Brute	44473	429	410000	250	215	107	143	36	107	43	114	14	63	214	196	3	3	0
Dragon Robot	Dragon Robot	144	0	Neutral	Formless	2	Hybrid	45072	432	320000	180	144	108	180	180	72	29	100	29	86	234	198	4	3	0
Alien Galaxia	Galaxian Brute	144	0	Neutral	Formless	3	Critter	45072	432	270000	108	108	108	108	108	108	14	93	0	67	198	198	2	2	0
Alien Skye	Galaxian Skimmer	144	0	Neutral	Formless	2	Hybrid	45072	432	320000	180	144	108	180	180	72	29	100	29	86	234	198	4	3	0
Galaxy Robot	Galaxy Robot	144	0	Neutral	Formless	3	Hybrid	45072	432	320000	180	144	108	180	180	72	29	100	29	86	234	198	4	3	0
Metal Robot	Metal Robot	144	0	Neutral	Formless	3	Brute	45072	432	420000	252	216	108	144	36	108	43	115	14	64	216	198	3	3	0
Soldier Robot	Soldier Robot	145	0	Neutral	Formless	3	Brute	45675	435	420000	254	218	109	145	36	109	44	115	15	64	217	199	3	3	0
Tanker Robot	Tanker Robot	145	0	Neutral	Formless	3	Defender	45675	435	470000	218	254	36	145	73	145	73	122	15	75	217	163	1	2	0
Trooper Robot	Trooper Robot	145	0	Neutral	Formless	3	Brute	45675	435	420000	254	218	109	145	36	109	44	115	15	64	217	199	3	3	0
Dragon Predator Robot	Robot Dragon	150	1	Neutral	Formless	3	Hybrid	2437500	22500	58000000	375	300	225	375	375	150	90	405	90	426	337	262	4	3	0
NightmareBerserkerBoss	Echo Berserker	155	1	Fire	Humanoid	2	Ravager	2596250	23250	63000000	465	310	310	310	155	310	93	417	48	300	310	310	4	4	0
NightmareGunslingerBoss	Echo Gunslinger	155	1	Wind	Humanoid	2	Archer	2596250	23250	52000000	233	233	388	543	78	388	48	369	93	228	426	349	2	1	0
NightmareNecromancerBoss	Echo Necromancer	155	1	Undead	Humanoid	2	Undead	2596250	23250	87000000	620	465	78	310	310	78	186	510	0	438	310	194	2	1	0
NightmarePaladinBoss	Echo Paladin	155	1	Water	Humanoid	2	Defender	2596250	23250	99000000	465	543	78	310	155	310	234	555	48	369	310	194	1	2	0
NightmarePriestBoss	Echo Priest	155	1	Holy	Humanoid	2	Caster	2596250	23250	39000000	155	155	155	543	543	310	0	324	186	483	426	232	3	2	0
NightmareShinobiBoss	Echo Shinobi	155	1	Poison	Humanoid	2	Hybrid	2596250	23250	63000000	388	310	233	388	388	155	93	417	93	438	349	271	4	3	0
NightmareWizardBoss	Echo Wizard	155	1	Ghost	Humanoid	2	Caster	2596250	23250	39000000	155	155	155	543	543	310	0	324	186	483	426	232	3	2	0
